Region,Country,Item Type,,,
Sub-Saharan Africa,Senegal,Fruits,,,
Middle East and North Africa,Algeria,Vegetables,,,
Europe,Bosnia and Herzegovina,Personal Care,,,
Central America and the Caribbean,Antigua and Barbuda ,Baby Food,,,
Asia,Cambodia,Personal Care,,,
Middle East and North Africa,Oman,Vegetables,,,
North America,United States of America,Baby Food,,,
Sub-Saharan Africa,Mauritania,Office Supplies,,,
Sub-Saharan Africa,Central African Republic,Cosmetics,,,
Europe,Albania,Baby Food,,,
Europe,Switzerland,Vegetables,,,
Sub-Saharan Africa,Ghana,Household,,,
Europe,Austria,Vegetables,,,
Sub-Saharan Africa,Democratic Republic of the Congo,Household,,,
Central America and the Caribbean,Dominican Republic,Clothes,,,
Sub-Saharan Africa,Mauritius ,Baby Food,,,
Middle East and North Africa,Libya,Cosmetics,,,
Australia and Oceania,Samoa ,Office Supplies,,,
Middle East and North Africa,Kuwait,Personal Care,,,
Europe,Hungary,Meat,,,
Sub-Saharan Africa,Senegal,Beverages,,,
Europe,Moldova ,Personal Care,,,
Sub-Saharan Africa,Eritrea,Beverages,,,
Sub-Saharan Africa,Niger,Personal Care,,,
Central America and the Caribbean,Saint Lucia,Snacks,,,
Europe,Sweden,Vegetables,,,
Central America and the Caribbean,Jamaica,Baby Food,,,
Central America and the Caribbean,Haiti,Vegetables,,,
Australia and Oceania,Samoa ,Cosmetics,,,
Central America and the Caribbean,Dominican Republic,Snacks,,,
Middle East and North Africa,Tunisia ,Cereal,,,
Asia,Taiwan,Beverages,,,
Middle East and North Africa,Tunisia ,Cereal,,,
Asia,Sri Lanka,Office Supplies,,,
Asia,Indonesia,Office Supplies,,,
Sub-Saharan Africa,Ethiopia,Clothes,,,
Sub-Saharan Africa,Swaziland,Snacks,,,
Europe,Portugal,Fruits,,,
Europe,Hungary,Cereal,,,
Sub-Saharan Africa,Zimbabwe,Beverages,,,
Europe,Armenia,Personal Care,,,
Asia,North Korea,Meat,,,
Sub-Saharan Africa,Burkina Faso,Meat,,,
Asia,India,Personal Care,,,
Sub-Saharan Africa,Sao Tome and Principe,Household,,,
Europe,Armenia,Meat,,,
Europe,Georgia,Clothes,,,
Europe,Serbia,Cosmetics,,,
Australia and Oceania,Tuvalu,Cosmetics,,,
Central America and the Caribbean,Barbados,Vegetables,,,
Sub-Saharan Africa,Mali,Cereal,,,
Sub-Saharan Africa,Central African Republic,Household,,,
Asia,Sri Lanka,Vegetables,,,
Europe,Bosnia and Herzegovina,Vegetables,,,
Europe,Netherlands,Household,,,
Asia,Laos,Office Supplies,,,
Central America and the Caribbean,Honduras,Office Supplies,,,
Sub-Saharan Africa,Zambia,Household,,,
Sub-Saharan Africa,Botswana,Snacks,,,
Asia,Bhutan,Household,,,
Sub-Saharan Africa,Zimbabwe,Household,,,
Sub-Saharan Africa,Lesotho,Personal Care,,,
Sub-Saharan Africa,Togo,Household,,,
Australia and Oceania,Australia,Meat,,,
Europe,Luxembourg,Fruits,,,
Europe,Estonia,Fruits,,,
Europe,United Kingdom,Meat,,,
Middle East and North Africa,Morocco,Vegetables,,,
Europe,United Kingdom,Office Supplies,,,
Australia and Oceania,Papua New Guinea,Beverages,,,
Australia and Oceania,New Zealand,Personal Care,,,
Europe,Austria,Cosmetics,,,
Central America and the Caribbean,Saint Kitts and Nevis ,Vegetables,,,
Asia,Myanmar,Snacks,,,
Central America and the Caribbean,Guatemala,Baby Food,,,
Central America and the Caribbean,Antigua and Barbuda ,Vegetables,,,
Middle East and North Africa,Iran,Vegetables,,,
Asia,Singapore,Cosmetics,,,
Sub-Saharan Africa,Sudan,Baby Food,,,
Europe,Macedonia,Cereal,,,
North America,Canada,Office Supplies,,,
Europe,Malta,Cereal,,,
Middle East and North Africa,Iraq,Snacks,,,
Europe,Austria,Personal Care,,,
Asia,Thailand,Cereal,,,
Europe,Netherlands,Beverages,,,
Sub-Saharan Africa,Zimbabwe,Clothes,,,
Central America and the Caribbean,Belize,Cereal,,,
Europe,Georgia,Vegetables,,,
Central America and the Caribbean,Dominica,Beverages,,,
Europe,Slovakia,Beverages,,,
Sub-Saharan Africa,Benin,Snacks,,,
Central America and the Caribbean,Jamaica,Meat,,,
Middle East and North Africa,Syria,Cosmetics,,,
Europe,Bulgaria,Personal Care,,,
Australia and Oceania,Tonga,Beverages,,,
Europe,Finland,Clothes,,,
Sub-Saharan Africa,Namibia,Beverages,,,
Sub-Saharan Africa,Kenya,Baby Food,,,
Australia and Oceania,Kiribati,Household,,,
Australia and Oceania,Australia,Fruits,,,
Sub-Saharan Africa,Eritrea,Office Supplies,,,
Europe,Bulgaria,Fruits,,,
Australia and Oceania,Australia,Fruits,,,
Sub-Saharan Africa,The Gambia,Office Supplies,,,
Europe,Latvia,Beverages,,,
Europe,Bulgaria,Clothes,,,
Europe,France,Beverages,,,
Middle East and North Africa,United Arab Emirates,Fruits,,,
Middle East and North Africa,Kuwait,Personal Care,,,
Middle East and North Africa,Iran,Personal Care,,,
Central America and the Caribbean,Jamaica,Beverages,,,
Sub-Saharan Africa,Rwanda,Cereal,,,
North America,United States of America,Household,,,
Europe,Cyprus,Beverages,,,
Middle East and North Africa,Afghanistan,Vegetables,,,
Sub-Saharan Africa,Uganda,Cereal,,,
Sub-Saharan Africa,Senegal,Vegetables,,,
Middle East and North Africa,Afghanistan,Cosmetics,,,
Europe,Estonia,Personal Care,,,
Sub-Saharan Africa,Senegal,Meat,,,
Europe,Vatican City,Beverages,,,
Asia,Laos,Vegetables,,,
Central America and the Caribbean,Dominican Republic,Clothes,,,
Asia,Nepal,Personal Care,,,
Australia and Oceania,Palau,Meat,,,
Europe,Serbia,Snacks,,,
Europe,Cyprus,Cereal,,,
Asia,Indonesia,Meat,,,
Central America and the Caribbean,Dominica,Vegetables,,,
Sub-Saharan Africa,Malawi,Clothes,,,
Australia and Oceania,East Timor,Snacks,,,
Asia,Mongolia,Office Supplies,,,
Sub-Saharan Africa,Kenya,Clothes,,,
Europe,Moldova ,Vegetables,,,
Sub-Saharan Africa,Mozambique,Cereal,,,
Central America and the Caribbean,Saint Kitts and Nevis ,Household,,,
Australia and Oceania,Papua New Guinea,Snacks,,,
Sub-Saharan Africa,Guinea,Snacks,,,
Europe,Lithuania,Fruits,,,
Asia,Tajikistan,Meat,,,
Central America and the Caribbean,Antigua and Barbuda ,Snacks,,,
Middle East and North Africa,Saudi Arabia,Office Supplies,,,
Asia,Myanmar,Meat,,,
Australia and Oceania,Australia,Baby Food,,,
Australia and Oceania,Kiribati,Baby Food,,,
Middle East and North Africa,Pakistan,Vegetables,,,
Europe,Albania,Beverages,,,
Europe,Norway,Office Supplies,,,
Europe,Vatican City,Meat,,,
Middle East and North Africa,Algeria,Snacks,,,
Europe,Hungary,Snacks,,,
Asia,Tajikistan,Baby Food,,,
Sub-Saharan Africa,Djibouti,Household,,,
Europe,Macedonia,Cereal,,,
Sub-Saharan Africa,Lesotho,Meat,,,
Europe,Denmark,Beverages,,,
Australia and Oceania,Nauru,Personal Care,,,
Europe,Moldova ,Vegetables,,,
Australia and Oceania,Australia,Cereal,,,
Europe,Slovenia,Meat,,,
Central America and the Caribbean,Guatemala,Personal Care,,,
Central America and the Caribbean,Dominican Republic,Clothes,,,
Middle East and North Africa,Israel,Clothes,,,
Asia,Brunei,Beverages,,,
Asia,Myanmar,Snacks,,,
Europe,Croatia,Household,,,
Australia and Oceania,Tonga,Clothes,,,
Europe,Belarus,Vegetables,,,
Sub-Saharan Africa,Mali,Meat,,,
Asia,Bangladesh,Cosmetics,,,
Sub-Saharan Africa,Djibouti,Office Supplies,,,
Sub-Saharan Africa,Eritrea,Baby Food,,,
Middle East and North Africa,Iran,Snacks,,,
Asia,Kyrgyzstan,Meat,,,
Sub-Saharan Africa,Mauritius ,Snacks,,,
Sub-Saharan Africa,Ghana,Cosmetics,,,
Central America and the Caribbean,Dominican Republic,Cosmetics,,,
Sub-Saharan Africa,Togo,Baby Food,,,
Sub-Saharan Africa,Angola,Fruits,,,
Sub-Saharan Africa,Ghana,Baby Food,,,
Europe,Romania,Meat,,,
Sub-Saharan Africa,Zimbabwe,Clothes,,,
Sub-Saharan Africa,Benin,Beverages,,,
Middle East and North Africa,Algeria,Clothes,,,
Middle East and North Africa,Lebanon,Fruits,,,
Europe,Vatican City,Cereal,,,
Middle East and North Africa,Somalia,Baby Food,,,
Europe,Estonia,Household,,,
Middle East and North Africa,Libya,Personal Care,,,
Asia,Uzbekistan,Cereal,,,
Sub-Saharan Africa,Lesotho,Snacks,,,
Sub-Saharan Africa,Democratic Republic of the Congo,Snacks,,,
Sub-Saharan Africa,Tanzania,Personal Care,,,
Asia,Vietnam,Cereal,,,
Sub-Saharan Africa,Comoros,Meat,,,
Sub-Saharan Africa,Comoros,Household,,,
Central America and the Caribbean,Trinidad and Tobago,Household,,,
Australia and Oceania,Palau,Fruits,,,
Europe,Macedonia,Fruits,,,
Sub-Saharan Africa,Comoros,Fruits,,,
Sub-Saharan Africa,Zambia,Baby Food,,,
Australia and Oceania,Vanuatu,Snacks,,,
Europe,Cyprus,Vegetables,,,
Asia,Thailand,Snacks,,,
Asia,Kyrgyzstan,Household,,,
Central America and the Caribbean,Saint Vincent and the Grenadines,Baby Food,,,
Sub-Saharan Africa,Mauritius ,Baby Food,,,
Europe,Hungary,Household,,,
Europe,Switzerland,Cereal,,,
Europe,Denmark,Baby Food,,,
Europe,Cyprus,Office Supplies,,,
Sub-Saharan Africa,Rwanda,Beverages,,,
Sub-Saharan Africa,Benin,Vegetables,,,
Europe,Norway,Cereal,,,
Middle East and North Africa,Saudi Arabia,Clothes,,,
Australia and Oceania,Nauru,Snacks,,,
Australia and Oceania,Kiribati,Household,,,
Europe,Lithuania,Office Supplies,,,
Australia and Oceania,Palau,Vegetables,,,
Asia,Sri Lanka,Personal Care,,,
Sub-Saharan Africa,Djibouti,Fruits,,,
Central America and the Caribbean,Guatemala,Cosmetics,,,
Sub-Saharan Africa,Zimbabwe,Office Supplies,,,
Sub-Saharan Africa,Comoros,Meat,,,
Europe,Netherlands,Office Supplies,,,
Europe,Portugal,Clothes,,,
Europe,Spain,Baby Food,,,
Middle East and North Africa,Egypt,Clothes,,,
Europe,Slovenia,Vegetables,,,
Europe,Ireland,Cosmetics,,,
Asia,Taiwan,Meat,,,
Sub-Saharan Africa,Swaziland,Meat,,,
Europe,Armenia,Fruits,,,
Sub-Saharan Africa,The Gambia,Clothes,,,
Middle East and North Africa,Iran,Cereal,,,
Europe,Andorra,Baby Food,,,
Middle East and North Africa,Morocco,Vegetables,,,
Asia,Bhutan,Clothes,,,
Asia,Mongolia,Beverages,,,
Sub-Saharan Africa,Eritrea,Office Supplies,,,
Sub-Saharan Africa,Central African Republic,Clothes,,,
North America,Greenland,Fruits,,,
Middle East and North Africa,Somalia,Vegetables,,,
Sub-Saharan Africa,Cameroon,Cereal,,,
Asia,Uzbekistan,Beverages,,,
Sub-Saharan Africa,Ethiopia,Personal Care,,,
Asia,Kyrgyzstan,Office Supplies,,,
Europe,United Kingdom,Cosmetics,,,
Australia and Oceania,Marshall Islands,Snacks,,,
Asia,North Korea,Baby Food,,,
Australia and Oceania,Nauru,Meat,,,
Central America and the Caribbean,Saint Lucia,Beverages,,,
Europe,Ukraine,Snacks,,,
Sub-Saharan Africa,Sao Tome and Principe,Personal Care,,,
Europe,Bulgaria,Clothes,,,
Europe,Romania,Office Supplies,,,
Middle East and North Africa,Yemen,Cereal,,,
North America,United States of America,Household,,,
Central America and the Caribbean,Antigua and Barbuda ,Vegetables,,,
Europe,Latvia,Cereal,,,
Central America and the Caribbean,El Salvador,Snacks,,,
Central America and the Caribbean,The Bahamas,Office Supplies,,,
Asia,Maldives,Personal Care,,,
Sub-Saharan Africa,Nigeria,Baby Food,,,
Sub-Saharan Africa,Zimbabwe,Vegetables,,,
Europe,Armenia,Baby Food,,,
Europe,Belarus,Personal Care,,,
Middle East and North Africa,Kuwait,Office Supplies,,,
Central America and the Caribbean,Panama,Clothes,,,
Asia,Turkmenistan,Clothes,,,
Central America and the Caribbean,Guatemala,Clothes,,,
Sub-Saharan Africa,Sudan,Meat,,,
Middle East and North Africa,Afghanistan,Vegetables,,,
Europe,Sweden,Snacks,,,
Europe,Moldova ,Cereal,,,
Europe,Belgium,Personal Care,,,
Sub-Saharan Africa,South Africa,Fruits,,,
Sub-Saharan Africa,Mauritania,Meat,,,
Middle East and North Africa,Azerbaijan,Beverages,,,
Sub-Saharan Africa,Sao Tome and Principe,Snacks,,,
Middle East and North Africa,Libya,Clothes,,,
Europe,Portugal,Beverages,,,
Middle East and North Africa,Lebanon,Office Supplies,,,
Australia and Oceania,Marshall Islands,Meat,,,
Central America and the Caribbean,Barbados,Cosmetics,,,
Sub-Saharan Africa,Sao Tome and Principe,Fruits,,,
Australia and Oceania,Samoa ,Beverages,,,
Australia and Oceania,Tonga,Household,,,
Europe,France,Meat,,,
Europe,Liechtenstein,Snacks,,,
Sub-Saharan Africa,South Africa,Meat,,,
Europe,Kosovo,Clothes,,,
Australia and Oceania,Palau,Cereal,,,
Europe,Sweden,Beverages,,,
Europe,Bosnia and Herzegovina,Office Supplies,,,
Central America and the Caribbean,Antigua and Barbuda ,Snacks,,,
Sub-Saharan Africa,Mauritius ,Cosmetics,,,
Central America and the Caribbean,Costa Rica,Personal Care,,,
Sub-Saharan Africa,Burundi,Beverages,,,
Sub-Saharan Africa,Sudan,Cereal,,,
Europe,Croatia,Baby Food,,,
Asia,Cambodia,Cereal,,,
Europe,Liechtenstein,Fruits,,,
Sub-Saharan Africa,Lesotho,Beverages,,,
Sub-Saharan Africa,Sierra Leone,Household,,,
Middle East and North Africa,Somalia,Clothes,,,
Sub-Saharan Africa,Sudan,Personal Care,,,
Sub-Saharan Africa,Botswana,Office Supplies,,,
Sub-Saharan Africa,South Africa,Office Supplies,,,
Central America and the Caribbean,Saint Kitts and Nevis ,Household,,,
Europe,United Kingdom,Cosmetics,,,
Australia and Oceania,Marshall Islands,Snacks,,,
Sub-Saharan Africa,Eritrea,Personal Care,,,
Central America and the Caribbean,Panama,Cereal,,,
Sub-Saharan Africa,Democratic Republic of the Congo,Cosmetics,,,
Asia,Brunei,Vegetables,,,
Sub-Saharan Africa,Sudan,Fruits,,,
Central America and the Caribbean,Jamaica,Fruits,,,
Sub-Saharan Africa,Togo,Snacks,,,
Europe,Andorra,Fruits,,,
Sub-Saharan Africa,Central African Republic,Clothes,,,
Asia,Cambodia,Office Supplies,,,
Europe,Poland,Office Supplies,,,
Middle East and North Africa,Afghanistan,Household,,,
Central America and the Caribbean,El Salvador,Cosmetics,,,
Middle East and North Africa,Oman,Household,,,
Sub-Saharan Africa,Madagascar,Cereal,,,
Asia,India,Beverages,,,
Australia and Oceania,Tonga,Snacks,,,
Central America and the Caribbean,Panama,Office Supplies,,,
Europe,Denmark,Cereal,,,
Europe,Denmark,Cosmetics,,,
Middle East and North Africa,Yemen,Baby Food,,,
Sub-Saharan Africa,Botswana,Clothes,,,
Europe,Portugal,Personal Care,,,
Europe,Poland,Personal Care,,,
Sub-Saharan Africa,Sao Tome and Principe,Clothes,,,
Sub-Saharan Africa,Equatorial Guinea,Beverages,,,
Central America and the Caribbean,Grenada,Beverages,,,
Sub-Saharan Africa,Mauritania,Meat,,,
Asia,Uzbekistan,Office Supplies,,,
Middle East and North Africa,Saudi Arabia,Cereal,,,
Middle East and North Africa,Afghanistan,Fruits,,,
Sub-Saharan Africa,Mali,Cereal,,,
North America,Mexico,Cosmetics,,,
Central America and the Caribbean,Costa Rica,Personal Care,,,
Europe,Switzerland,Household,,,
Sub-Saharan Africa,Nigeria,Meat,,,
Europe,Romania,Cosmetics,,,
Middle East and North Africa,Azerbaijan,Meat,,,
Asia,Nepal,Personal Care,,,
Europe,Czech Republic,Cereal,,,
Europe,Croatia,Clothes,,,
Europe,Latvia,Cosmetics,,,
Europe,Bulgaria,Cosmetics,,,
Sub-Saharan Africa,Botswana,Beverages,,,
Europe,Spain,Cereal,,,
Sub-Saharan Africa,Cape Verde,Snacks,,,
Central America and the Caribbean,The Bahamas,Meat,,,
Europe,Albania,Vegetables,,,
Europe,Macedonia,Vegetables,,,
Europe,Poland,Personal Care,,,
Middle East and North Africa,Tunisia ,Baby Food,,,
North America,United States of America,Office Supplies,,,
Europe,Serbia,Snacks,,,
Asia,Myanmar,Household,,,
Sub-Saharan Africa,Liberia,Clothes,,,
Sub-Saharan Africa,Tanzania,Personal Care,,,
Asia,Philippines,Household,,,
Asia,Bangladesh,Vegetables,,,
Central America and the Caribbean,Dominica,Cereal,,,
Sub-Saharan Africa,Democratic Republic of the Congo,Beverages,,,
Sub-Saharan Africa,Botswana,Cosmetics,,,
Central America and the Caribbean,El Salvador,Snacks,,,
Asia,Japan,Cereal,,,
Europe,Monaco,Personal Care,,,
Central America and the Caribbean,Guatemala,Meat,,,
Europe,Armenia,Vegetables,,,
Central America and the Caribbean,The Bahamas,Baby Food,,,
Europe,Montenegro,Baby Food,,,
Europe,Croatia,Beverages,,,
Europe,Portugal,Cereal,,,
Central America and the Caribbean,Antigua and Barbuda ,Cosmetics,,,
Middle East and North Africa,Afghanistan,Cosmetics,,,
Middle East and North Africa,Kuwait,Personal Care,,,
North America,United States of America,Vegetables,,,
Europe,Malta,Household,,,
Australia and Oceania,New Zealand,Office Supplies,,,
Sub-Saharan Africa,Angola,Clothes,,,
Australia and Oceania,Kiribati,Fruits,,,
Central America and the Caribbean,Dominica,Clothes,,,
Europe,Armenia,Baby Food,,,
Asia,Taiwan,Personal Care,,,
Asia,Kazakhstan,Baby Food,,,
Europe,Monaco,Clothes,,,
Europe,Vatican City,Cereal,,,
Australia and Oceania,Palau,Office Supplies,,,
Europe,Albania,Beverages,,,
Europe,Ireland,Clothes,,,
Asia,Nepal,Snacks,,,
Central America and the Caribbean,Haiti,Office Supplies,,,
Asia,India,Cereal,,,
Sub-Saharan Africa,Niger,Baby Food,,,
Europe,Kosovo,Personal Care,,,
Europe,Romania,Clothes,,,
Sub-Saharan Africa,Democratic Republic of the Congo,Beverages,,,
Middle East and North Africa,Kuwait,Household,,,
Sub-Saharan Africa,Mozambique,Meat,,,
Australia and Oceania,Kiribati,Household,,,
Sub-Saharan Africa,Gabon,Office Supplies,,,
Sub-Saharan Africa,South Africa,Cosmetics,,,
Sub-Saharan Africa,Malawi,Clothes,,,
Europe,Moldova ,Office Supplies,,,
North America,Canada,Baby Food,,,
Europe,Andorra,Meat,,,
Sub-Saharan Africa,Djibouti,Personal Care,,,
Europe,Finland,Cosmetics,,,
Europe,Poland,Clothes,,,
Sub-Saharan Africa,Mali,Baby Food,,,
Asia,Brunei,Fruits,,,
Asia,Nepal,Cosmetics,,,
Australia and Oceania,Federated States of Micronesia,Beverages,,,
Sub-Saharan Africa,South Africa,Snacks,,,
Asia,Kyrgyzstan,Baby Food,,,
Asia,Maldives,Household,,,
Europe,Liechtenstein,Clothes,,,
Sub-Saharan Africa,Sudan,Fruits,,,
Europe,Albania,Baby Food,,,
Sub-Saharan Africa,Comoros,Snacks,,,
Middle East and North Africa,Pakistan,Office Supplies,,,
Middle East and North Africa,Somalia,Meat,,,
Asia,Kyrgyzstan,Office Supplies,,,
Europe,Kosovo,Beverages,,,
Sub-Saharan Africa,Namibia,Cosmetics,,,
Europe,France,Household,,,
Sub-Saharan Africa,Namibia,Personal Care,,,
North America,Canada,Cereal,,,
Central America and the Caribbean,Haiti,Fruits,,,
Central America and the Caribbean,Honduras,Cosmetics,,,
Australia and Oceania,Tonga,Personal Care,,,
North America,Greenland,Household,,,
Australia and Oceania,Tuvalu,Snacks,,,
Europe,Poland,Cereal,,,
Australia and Oceania,Fiji,Snacks,,,
Sub-Saharan Africa,Mali,Clothes,,,
Europe,Greece,Cosmetics,,,
Middle East and North Africa,Yemen,Household,,,
Asia,Mongolia,Vegetables,,,
Sub-Saharan Africa,The Gambia,Personal Care,,,
Asia,Uzbekistan,Office Supplies,,,
Europe,Poland,Cereal,,,
Sub-Saharan Africa,Niger,Office Supplies,,,
Sub-Saharan Africa,Lesotho,Office Supplies,,,
Sub-Saharan Africa,Democratic Republic of the Congo,Beverages,,,
Europe,Moldova ,Household,,,
Central America and the Caribbean,Grenada,Vegetables,,,
Europe,Bulgaria,Meat,,,
Europe,United Kingdom,Clothes,,,
Central America and the Caribbean,El Salvador,Personal Care,,,
Sub-Saharan Africa,Lesotho,Cosmetics,,,
Sub-Saharan Africa,Democratic Republic of the Congo,Cereal,,,
Australia and Oceania,Marshall Islands,Fruits,,,
Europe,Germany,Baby Food,,,
Sub-Saharan Africa,Liberia,Vegetables,,,
Europe,Montenegro,Fruits,,,
Europe,Kosovo,Meat,,,
Asia,Turkmenistan,Cosmetics,,,
Asia,India,Snacks,,,
Sub-Saharan Africa,Seychelles ,Fruits,,,
Europe,Albania,Beverages,,,
Europe,Bulgaria,Office Supplies,,,
Sub-Saharan Africa,Zambia,Cereal,,,
Europe,Latvia,Office Supplies,,,
Australia and Oceania,Tuvalu,Meat,,,
Europe,Bosnia and Herzegovina,Clothes,,,
Sub-Saharan Africa,Namibia,Cosmetics,,,
Europe,Norway,Snacks,,,
Australia and Oceania,New Zealand,Household,,,
Europe,United Kingdom,Personal Care,,,
Middle East and North Africa,Kuwait,Vegetables,,,
Europe,Monaco,Clothes,,,
Central America and the Caribbean,Cuba,Office Supplies,,,
Europe,Hungary,Baby Food,,,
Europe,Macedonia,Snacks,,,
Sub-Saharan Africa,Ethiopia,Meat,,,
Middle East and North Africa,United Arab Emirates,Cosmetics,,,
Middle East and North Africa,Tunisia ,Vegetables,,,
Sub-Saharan Africa,Uganda,Beverages,,,
Sub-Saharan Africa,Malawi,Cosmetics,,,
Europe,Lithuania,Cereal,,,
Central America and the Caribbean,Costa Rica,Household,,,
Asia,Kyrgyzstan,Household,,,
Asia,Bangladesh,Cereal,,,
Europe,Malta,Vegetables,,,
Sub-Saharan Africa,Ethiopia,Vegetables,,,
Europe,Austria,Meat,,,
Sub-Saharan Africa,Ethiopia,Vegetables,,,
Sub-Saharan Africa,Republic of the Congo,Cosmetics,,,
Middle East and North Africa,Iran,Meat,,,
Asia,Bangladesh,Office Supplies,,,
Europe,Poland,Cosmetics,,,
Sub-Saharan Africa,Cape Verde,Snacks,,,
Middle East and North Africa,United Arab Emirates,Office Supplies,,,
Central America and the Caribbean,El Salvador,Snacks,,,
Europe,Vatican City,Beverages,,,
Sub-Saharan Africa,The Gambia,Meat,,,
Europe,Macedonia,Fruits,,,
Europe,Slovakia,Snacks,,,
Europe,Greece,Clothes,,,
Europe,Czech Republic,Office Supplies,,,
Asia,Kazakhstan,Vegetables,,,
Asia,Maldives,Household,,,
Europe,Ireland,Snacks,,,
Sub-Saharan Africa,Liberia,Clothes,,,
North America,United States of America,Clothes,,,
Sub-Saharan Africa,Guinea,Personal Care,,,
Australia and Oceania,Samoa ,Vegetables,,,
Central America and the Caribbean,Belize,Clothes,,,
Europe,Estonia,Clothes,,,
Australia and Oceania,Solomon Islands,Clothes,,,
Central America and the Caribbean,Barbados,Household,,,
Asia,South Korea,Clothes,,,
Sub-Saharan Africa,Mozambique,Personal Care,,,
Asia,Singapore,Meat,,,
North America,Mexico,Snacks,,,
Sub-Saharan Africa,Botswana,Clothes,,,
Europe,Liechtenstein,Meat,,,
Central America and the Caribbean,Antigua and Barbuda ,Beverages,,,
Europe,Czech Republic,Fruits,,,
Sub-Saharan Africa,Mali,Cosmetics,,,
Europe,Slovakia,Personal Care,,,
Sub-Saharan Africa,Equatorial Guinea,Vegetables,,,
Europe,Croatia,Baby Food,,,
Sub-Saharan Africa,Sudan,Cereal,,,
Europe,Serbia,Fruits,,,
Asia,North Korea,Snacks,,,
Sub-Saharan Africa,Zimbabwe,Fruits,,,
Europe,Belarus,Clothes,,,
Sub-Saharan Africa,Madagascar,Personal Care,,,
Sub-Saharan Africa,Zimbabwe,Clothes,,,
North America,Mexico,Office Supplies,,,
Europe,Poland,Office Supplies,,,
Sub-Saharan Africa,Namibia,Snacks,,,
Sub-Saharan Africa,Democratic Republic of the Congo,Fruits,,,
Central America and the Caribbean,Dominican Republic,Personal Care,,,
Sub-Saharan Africa,Guinea,Vegetables,,,
Australia and Oceania,Tuvalu,Fruits,,,
Sub-Saharan Africa,Swaziland,Personal Care,,,
Europe,Romania,Baby Food,,,
Central America and the Caribbean,Saint Kitts and Nevis ,Household,,,
Sub-Saharan Africa,Cape Verde,Baby Food,,,
